Restaurant_Name,Country Code,City,Address,Locality,Locality Verbose,lon,lat,cost_for_two,Currency,Has Table booking,Has Online delivery,Is delivering now,Switch to order menu,Price_Range,Rating,Rating color,Review,Votes
Spicy Duck - Taj Palace Hotel,1,New Delhi,"Taj Palace Hotel, Diplomatic Enclave, Chanakyapuri, New Delhi","The Taj Palace Hotel, Chanakyapuri","The Taj Palace Hotel, Chanakyapuri, New Delhi",77.1702198,28.5948008,4000,Indian Rupees(Rs.),Yes,No,No,No,4,3,Yellow,Good,24
Heavens Food Corner,1,New Delhi,"DDA Market, Near Mother Dairy, Kalkaji, New Delhi",Kalkaji,"Kalkaji, New Delhi",77.25698889,28.53074722,500,Indian Rupees(Rs.),No,No,No,No,2,2,Orange,Average,14
Freito,1,Indore,"343-344, Rooftop, Scheme 54, Vijay Nagar, Indore",Vijay Nagar,"Vijay Nagar, Indore",75.8934001,22.7480596,650,Indian Rupees(Rs.),No,No,No,No,2,3,Orange,Average,26
Bikaner's,1,Noida,"Shop 25, 26 & 27, Arcade A, Princely Estate, Secotor 76, Near Sector 72, Noida",Sector 72,"Sector 72, Noida",77.3812288,28.56639,400,Indian Rupees(Rs.),No,Yes,No,No,1,2,Red,Poor,11
Hyderabad Delights,1,Noida,"Shop 12, Opposite Yatharth Hospital, Gejha Road, Sector 110, Noida",Sector 110,"Sector 110, Noida",77.38514822,28.53280177,400,Indian Rupees(Rs.),No,No,No,No,1,3,Orange,Average,13
Punjabi Chaap Corner,1,New Delhi,"B-4/317 A, Keshav Puram, Lawrence Road, New Delhi",Lawrence Road,"Lawrence Road, New Delhi",77.1613602,28.689127,550,Indian Rupees(Rs.),No,No,No,No,2,3,Orange,Average,20
Crust Stone Oven Pizza,216,Davenport,"2561 E 53rd Ave, Bettendorf, IA 52722",Bettendorf,"Bettendorf, Davenport",-90.4912446,41.5747801,25,Dollar($),No,No,No,No,2,3,Yellow,Good,136
HI Lite Bar & Lounge,216,Miller,"109 N Broadway Ave, Miller, SD 57362",Miller,"Miller, Miller",-98.9891,44.5158,0,Dollar($),No,No,No,No,1,3,Orange,Average,11
Subway,1,Gurgaon,"Food Court, Ground Floor, Unitech Infospace, Sector 21, Gurgaon","Unitech Infospace, Sector 21, Gurgaon","Unitech Infospace, Sector 21, Gurgaon, Gurgaon",77.0715115,28.509779,500,Indian Rupees(Rs.),No,No,No,No,2,3,Orange,Average,27
Ashok & Ashok Meat Dhaba,1,New Delhi,"Shop 2, Ring Road, Sarojini Nagar, New Delhi",Sarojini Nagar,"Sarojini Nagar, New Delhi",77.1936317,28.5694278,650,Indian Rupees(Rs.),No,Yes,No,No,2,3,Orange,Average,11
Chefoncalls,1,Gurgaon,"N4/19,  N-Block, DLF Phase 2, Gurgaon",DLF Phase 2,"DLF Phase 2, Gurgaon",0.0,0.0,300,Indian Rupees(Rs.),No,No,No,No,1,0,White,Not rated,0
Bar Gernika Basque Pub & Eatery,216,Boise,"202 S Capitol Blvd, Boise, ID 83702",Boise,"Boise, Boise",-116.2031,43.614,10,Dollar($),No,No,No,No,1,4,Green,Very Good,303
The Dessert Table Company,1,Noida,"Flat 203, Tower 6, Parsvnath Prestige 2, Shrishti Welfare Society, Sector 93, Noida",Sector 93,"Sector 93, Noida",77.3863173,28.5189985,500,Indian Rupees(Rs.),No,No,No,No,2,3,Orange,Average,9
NESCAFï¿½ Illusions,1,Nagpur,"Oppsite Dharampeth High School, North Ambazari Road, Near ICICI Bank, Lad Apartment., Dharampeth, Nagpur",Dharampeth,"Dharampeth, Nagpur",79.0651371,21.13685791,350,Indian Rupees(Rs.),No,No,No,No,2,3,Yellow,Good,140
A One Rasoi,1,Gurgaon,"Shop 53, HUDA Market, Sector 40, Near, Sector 31, Gurgaon",Sector 31,"Sector 31, Gurgaon",77.0568391,28.4489745,500,Indian Rupees(Rs.),No,No,No,No,2,3,Orange,Average,11
Sky Hawk,1,New Delhi,"RZ-132, 1st Floor, Near Reliance Fresh, New Roshanpura, Najafgarh, New Delhi",Najafgarh,"Najafgarh, New Delhi",76.9877493,28.6032958,600,Indian Rupees(Rs.),No,No,No,No,2,0,White,Not rated,1
Health Buzzz,1,Noida,"22 GF, B Block Market, Sector 62, Noida",Sector 62,"Sector 62, Noida",77.3707092,28.6184991,350,Indian Rupees(Rs.),No,Yes,No,No,1,3,Orange,Average,11
Backstreet Kitchen,1,Noida,"12-A, Near Community Centre, Sector 104, Near, Sector 110, Noida",Sector 110,"Sector 110, Noida",77.36520298,28.53920932,500,Indian Rupees(Rs.),No,Yes,No,No,2,3,Orange,Average,33
Old Town Cafe,1,New Delhi,"111, Shahpur Jat, New Delhi",Shahpur Jat,"Shahpur Jat, New Delhi",77.2154563,28.5490654,800,Indian Rupees(Rs.),No,Yes,No,No,2,3,Yellow,Good,119
Pind Balluchi,1,New Delhi,"13, Regal Building, Connaught Place, New Delhi",Connaught Place,"Connaught Place, New Delhi",77.2180107,28.6308607,1000,Indian Rupees(Rs.),No,Yes,No,No,3,3,Yellow,Good,1434
KFC,1,New Delhi,"12 & 13, 2nd Floor, Food Court, Moments Mall, Kirti Nagar, New Delhi","Moments Mall, Kirti Nagar","Moments Mall, Kirti Nagar, New Delhi",77.1467938,28.6571438,500,Indian Rupees(Rs.),No,Yes,No,No,2,2,Orange,Average,87
Smoksha Cafe and Lounge,1,New Delhi,"G-55/58, Aggrawal Metro Heights, Netaji Subhash Place, New Delhi",Netaji Subhash Place,"Netaji Subhash Place, New Delhi",77.1495499,28.6941293,600,Indian Rupees(Rs.),No,No,No,No,2,3,Orange,Average,60
Hot & Spicy,1,Gurgaon,"Opposite Mahindra Aura Apartment, New Palam Vihar, Near Palam Vihar, Gurgaon",Palam Vihar,"Palam Vihar, Gurgaon",77.0252309,28.5118122,450,Indian Rupees(Rs.),No,No,No,No,1,0,White,Not rated,0
Refuel,1,New Delhi,"Main Road, Indira Vihar, Mukherjee Nagar, New Delhi",Mukherjee Nagar,"Mukherjee Nagar, New Delhi",77.2123452,28.7064044,150,Indian Rupees(Rs.),No,No,No,No,1,3,Orange,Average,6
The Food Factory,1,Noida,"Shop 617, Chaudhary Complex, Sector 22, Noida",Sector 22,"Sector 22, Noida",77.3469331,28.5916807,150,Indian Rupees(Rs.),No,No,No,No,1,0,White,Not rated,1
Flying Spaghetti Monster,1,Vizag,"10-50-12/F2, Sai Dakshata Complex, Beside Lenovo Showroom,   Visakhapatnam, Waltair Uplands, Waltair Uplands, Vizag",Waltair Uplands,"Waltair Uplands, Vizag",83.31494167,17.72111944,1400,Indian Rupees(Rs.),No,No,No,No,3,4,Green,Very Good,316
Jack Po!tato's,1,New Delhi,"Atrium Floor, Splendor Forum Mall, Jasola, New Delhi",Jasola,"Jasola, New Delhi",77.2875272,28.5372187,150,Indian Rupees(Rs.),No,No,No,No,1,3,Orange,Average,15
Khana Khajana Da Dhaba,1,Noida,"20 & 21, Atta Subzi Mandi, Maa Shakumbhari Market, Sector 27, Noida",Sector 27,"Sector 27, Noida",77.3245817,28.573916,450,Indian Rupees(Rs.),No,No,No,No,1,2,Orange,Average,5
Prasadam,1,New Delhi,"G-57, Vikas Marg, Near Walia Nursing Home, Laxmi Nagar, New Delhi",Laxmi Nagar,"Laxmi Nagar, New Delhi",77.2807048,28.6328809,400,Indian Rupees(Rs.),No,No,No,No,1,2,Orange,Average,34
New Woks,1,Noida,"102 & 103, Food Court, Supertech Shopprix Mall, Sector 61, Noida","Supertech Shopprix Mall, Sector 61","Supertech Shopprix Mall, Sector 61, Noida",77.364878,28.5970621,750,Indian Rupees(Rs.),Yes,Yes,No,No,2,2,Orange,Average,79
Gulshan Dhaba,1,Gurgaon,"Sohna Chowk, Sohna Road, Gurgaon",Sohna Road,"Sohna Road, Gurgaon",77.0276151,28.4579514,150,Indian Rupees(Rs.),No,No,No,No,1,3,Orange,Average,20
Slice of Italy,1,New Delhi,"Shop 147, Mehar Chand Market, Lodhi Colony, New Delhi",Lodhi Colony,"Lodhi Colony, New Delhi",77.2269022,28.5823705,700,Indian Rupees(Rs.),Yes,Yes,No,No,2,3,Orange,Average,171
The French by Simon Rogan - The Midland,215,Manchester,"The Midland, Peter Street, Deansgate, Manchester M60 2DS","The Midland, Deansgate","The Midland, Deansgate, Manchester",-2.245077,53.477154,160,Pounds(ï¿½ï¿½),No,No,No,No,4,4,Green,Very Good,114
Momo-Cha,1,Faridabad,"87, Near City Chemist, Sector 15, Faridabad",Sector 15,"Sector 15, Faridabad",77.3224363,28.3951869,400,Indian Rupees(Rs.),No,No,No,No,1,2,Orange,Average,32
Taruveda Bistro,1,Jaipur,"1st Floor, Sunraj Villa, 2 Mysore House, Jacob Road, Civil Lines, Jaipur",Civil Lines,"Civil Lines, Jaipur",75.7890337,26.91137752,1000,Indian Rupees(Rs.),No,Yes,No,No,3,4,Green,Very Good,633
Batra Chinese Food & Chaap,1,New Delhi,"3/200, Subhash Nagar, New Delhi",Subhash Nagar,"Subhash Nagar, New Delhi",77.111493,28.6341831,250,Indian Rupees(Rs.),No,No,No,No,1,0,White,Not rated,0
